TargetWord,Prime,Unrelated,Length_Related,SubFreq_Related,LogSubFreq_Related,LogHAL_Related,OrthoN_Related,FreqGreater_Related,BGSum_Related,BGMean_Related,POS_Related,ELP_NT_RT_Related,ELP_N_Z_Related,ELP_NT_Acc_Related,Relation1_Related,Relation2_Related,FAS_Related,BAS_Related,CueFanOut_Related,LSA_Related,LSA_Unrelated,NT_200ms_RT_Related,NT_200ms_RT_Unrelated,NT_200ms_Z_Related,NT_200ms_Z_Unrelated,NT_200ms_Acc_Related,NT_200ms_Acc_Unrelated,NT_1200ms_RT_Related,NT_1200ms_RT_Unrelated,NT_1200ms_Z_Related,NT_1200ms_Z_Unrelated,NT_1200ms_Acc_Related,NT_1200ms_Acc,NT_200ms_RT_Priming_Related,NT_200ms_Z_Priming_Related,NT_200ms_Acc_Priming_Related,NT_1200ms_RT_Priming_Related,NT_1200ms_Z_Priming_Related,NT_1200ms_Acc_Priming_Related
abandon,DISOWN,PROVISION,6,0.41,1.34,5.57,0,,6269,1253.8,VB,737.93,-0.14,0.96,synonym,,0.053,,31,0.08,0.25,575.2380952,607.6,0.6270397385,0.6072506782,1,1,534.2692308,581.75,0.03234931724,0.1490419827,1,1,32.36190476,-0.01978906031,0,47.48076923,0.1166926655,0
ability,CAPABILITY,FUEL,10,1.37,1.85,9.49,0,,12455,1383.89,NN,714.32,0.2,0.92,synonym,,0.282,0.119,12,0.22,0.03,581.9655172,676.7727273,0.3995504078,0.4042082596,0.9655172414,1,562.2352941,584.7058824,-0.006856093781,0.2011993615,1,1,94.80721003,0.004657851847,-0.03448275862,22.47058824,0.2080554553,0
abnormal,NORMAL,EGYPT,6,70.37,3.56,11.17,2,0,8880,1776,JJ|RB,577.39,-0.8,1,antonym,,0.34,0.281,15,0.7,-0.02,562,544.6666667,0.07893979321,0.3827744977,1,1,580.4117647,539.5,0.5698958114,0.295357376,1,1,-17.33333333,0.3038347045,0,-40.91176471,-0.2745384354,0
above,BELOW,POSTAGE,5,28.04,3.16,11.41,0,,4747,1186.75,minor|NN,602.57,-0.56,1,antonym,,0.503,0.564,9,0.79,0.04,591.2,556.2647059,0.007425294355,-0.2004624108,1,1,461.44,504.8529412,-0.5759664005,-0.2295866999,1,1,-34.93529412,-0.2078877052,0,43.41294118,0.3463797006,0
abuse,USE,DISGUSTING,3,343.84,4.24,13.43,0,,3497,1748.5,VB,618.35,-0.54,1,fpa,,0.192,0.015,22,0.2,0.02,581.375,610.75,0.2868271685,0.4831299763,0.9583333333,1,497.7142857,610.32,-0.2072779523,0.007344628384,1,1,29.375,0.1963028078,-0.04166666667,112.6057143,0.2146225807,0
accept,REJECT,JOCK,6,4.24,2.34,8.92,1,0,7170,1434,VB,648.7,-0.31,1,antonym,,0.169,0.107,18,0.6,0,558.2058824,531.1071429,0.2185383465,-0.1050908643,1,0.9642857143,536.3333333,506.2692308,0.1325078605,-0.2872295154,1,0.9615384615,-27.0987395,-0.3236292108,0.03571428571,-30.06410256,-0.419737376,0.03846153846
account,CHECKING,NOW,8,32.47,3.22,9.71,0,,16750,2392.86,VB|NN,630.89,-0.44,1,fpa,,0.44,0.035,10,0.42,0.08,550,515.5714286,-0.004641111558,-0.04465092331,0.9696969697,1,499.25,546.1052632,-0.1871491379,0.0772529278,1,1,-34.42857143,-0.04000981175,-0.0303030303,46.85526316,0.2644020657,0
accuse,BLAME,SUM,5,58.78,3.48,9.76,5,1,5885,1471.25,VB|NN,576.12,-0.61,0.96,synonym,,0.185,0.159,22,0.22,0.11,560.8518519,620.4285714,0.1616441947,0.8992958129,1,0.9523809524,549.6923077,516.35,0.1664524029,0.08696140854,1,1,59.57671958,0.7376516182,0.04761904762,-33.34230769,-0.07949099438,0
ache,STOMACH,REFLECTION,7,33.82,3.24,8.95,0,,10809,1801.5,NN|VB,670.96,-0.22,1,fpa,,0.284,0,17,0.19,0.07,503.4444444,568.4642857,-0.3010391774,0.1972346434,0.9722222222,1,569.3255814,506.32,0.1935558975,0.03780269364,1,1,65.01984127,0.4982738207,-0.02777777778,-63.0055814,-0.1557532039,0
achieve,GOAL,GIRL,4,16.75,2.93,10.17,4,0,3845,1281.67,NN,631.32,-0.55,1,script,,0.174,0.22,21,0.65,0.05,618.1388889,558.6944444,0.1874261179,0.01358176872,1,1,494.5714286,514.575,0.03241440726,-0.1155721718,1,1,-59.44444444,-0.1738443491,0,20.00357143,-0.147986579,0
act,PERFORM,FRISK,7,16.1,2.91,10.11,0,,11886,1981,VB,639.42,-0.4,1,synonym,,0.291,0.02,15,0.2,0.04,528.3571429,523.2777778,-0.4143652843,-0.3243016614,0.9642857143,1,472.6,478.3684211,-0.4226110385,-0.4753907195,1,0.9736842105,-5.079365079,0.09006362293,-0.03571428571,5.768421053,-0.05277968102,0.02631578947
action,REACTION,DIP,8,16.27,2.92,9.72,0,,20851,2978.71,NN,608.42,-0.61,1,unclassified,,0.103,0.094,21,0.14,0.12,510.047619,502.6470588,-0.1847268334,-0.3883322507,1,0.9705882353,490.76,521.2820513,-0.3687311727,-0.1122364826,1,0.9743589744,-7.400560224,-0.2036054173,0.02941176471,30.52205128,0.2564946901,0.02564102564
active,HYPER,DISPERSE,5,,,,,,,,,,,,synonym,fpa,0.295,0.02,19,-0.02,0.1,575.6176471,534.2,-0.1359335399,-0.1765562697,0.9705882353,1,501.7222222,527.5151515,-0.2264147731,-0.2175548003,1,1,-41.41764706,-0.04062272972,-0.02941176471,25.79292929,0.008859972726,0
actor,ACTRESS,COAST,7,16.02,2.91,8.52,0,,14893,2482.17,NN,611.85,-0.56,0.96,category,,0.507,0.578,11,0.59,0,528.1875,488.1904762,-0.09143578384,-0.1540102669,1,1,519.1111111,470.55,-0.2309463771,-0.5148980781,1,1,-39.99702381,-0.0625744831,0,-48.56111111,-0.283951701,0
actress,ACTOR,FOUR,5,26.33,3.13,9.26,0,,6723,1680.75,NN,555.71,-0.74,1,category,,0.578,0.507,14,0.59,0.09,528.1538462,550,-0.1507533716,0.04055795519,1,0.9666666667,553.037037,489.3076923,-0.1167808987,-0.2997607761,1,1,21.84615385,0.1913113268,0.03333333333,-63.72934473,-0.1829798773,0
add,SUM,PARADISE,3,10.25,2.72,9.52,10,3,1490,745,NN|VB,642.07,-0.37,1,synonym,,0.284,0.017,11,0.25,0.05,523.0588235,505.5185185,-0.1940195037,-0.3624790149,1,1,631,497.6785714,0.2847024706,-0.3127933738,1,0.9642857143,-17.54030501,-0.1684595112,0,-133.3214286,-0.5974958444,0.03571428571
addition,SUBTRACTION,INSTRUCTIONS,11,0.2,1.04,5.95,0,,20576,2057.6,NN,704.11,-0.03,1,antonym,,0.507,0.621,7,0.26,0.32,541,553.5945946,0.2770662127,0.1878408293,0.85,0.972972973,538.6666667,580.6923077,-0.01274085228,0.3102933898,1,1,12.59459459,-0.08922538336,-0.122972973,42.02564103,0.3230342421,0
adjective,ADVERB,EGO,6,0.2,1.04,5,1,1,9447,1889.4,NN,632.71,-0.39,1,category,,0.274,0.152,12,0.94,-0.02,635.8181818,765.6842105,0.445480993,2.091510536,0.9545454545,0.6842105263,609.7241379,636.1481481,0.4055355561,0.8307068127,0.8965517241,0.7407407407,129.8660287,1.646029543,0.2703349282,26.42401022,0.4251712567,0.1558109834
adolescent,PUBERTY,ADVENTUROUS,7,2.2,2.05,6.92,0,,9498,1583,NN,670.78,-0.19,1,script,,0.138,0.041,24,0.56,0.11,604.1071429,608.5714286,0.5512960332,0.6830477605,1,0.9428571429,565.59375,570.7692308,0.2340230148,0.7222395798,1,0.9743589744,4.464285714,0.1317517273,0.05714285714,5.175480769,0.488216565,0.02564102564
adventure,EXPLORER,WARY,8,1.9,1.99,8.68,2,0,16486,2355.14,NN,670.93,-0.24,0.96,unclassified,,0.196,0,20,0.37,0.23,628.7857143,511.4615385,-0.04906442745,-0.1179941081,1,1,593.8888889,540.6071429,0.2412850099,-0.07751550199,1,1,-117.3241758,-0.06892968067,0,-53.28174603,-0.3188005119,0
advice,SUGGEST,NO,7,39.24,3.3,10.83,0,,10681,1780.17,VB,661.56,-0.18,1,synonym,,0.072,0,23,0.32,0.4,605.3529412,556.2962963,0.1589050146,0.05426665864,1,1,586.1,609.2916667,0.200827696,0.04413124836,1,1,-49.05664488,-0.1046383559,0,23.19166667,-0.1566964477,0
africa,CONTINENT,THREAT,9,3.67,2.27,8.21,0,,30878,3859.75,NN,741.9,0.14,0.78,supraordinate,,0.169,0.234,16,0.63,0.05,515.9393939,508.5263158,-0.01934646544,-0.4998657798,1,1,527.3103448,510.7407407,-0.1012204338,-0.1024583316,1,1,-7.41307815,-0.4805193144,0,-16.56960409,-0.001237897783,0
after,BEFORE,CELCIUS,6,794.14,4.61,12.75,0,,9191,1838.2,minor|RB|NN,665.57,-0.37,1,antonym,,0.859,0.571,4,0.81,,496.6857143,,-0.4538625327,,0.9714285714,,497.1923077,414.5714286,-0.3119272298,-0.4735758242,1,0.9285714286,,,,-82.62087912,-0.1616485944,0.07142857143
again,REPEAT,OVERWHELM,6,33.02,3.23,10,3,0,12875,2575,VB|NN,602.83,-0.56,1,synonym,,0.289,0.336,18,0.33,0.22,555.25,574.4,-0.1548391151,0.04647037375,1,0.95,527.7142857,559.5384615,-0.1459934159,-0.1720236505,1,0.9615384615,19.15,0.2013094888,0.05,31.82417582,-0.02603023463,0.03846153846
against,FOR,BLOCK,3,6895.1,5.55,15.42,7,0,3344,1672,minor,588.9,-0.58,1,antonym,,0.27,0.312,13,0.49,0.22,625.4285714,499.71875,-0.01394322265,-0.3702323668,1,0.96875,506.5,621.72,-0.0312274069,0.3350186305,1,1,-125.7098214,-0.3562891441,0.03125,115.22,0.3662460374,0
age,YEARS,RIP,5,568.69,4.46,12.76,10,0,6431,1607.75,NN,608.43,-0.38,1,category,,0.19,0,12,0.53,0.09,525.3333333,506.6190476,-0.383773911,-0.2441648967,1,1,463.8421053,473.3333333,-0.218512844,-0.3809164835,1,1,-18.71428571,0.1396090144,0,9.49122807,-0.1624036396,0
agreement,CONTRACT,PRO,8,32.35,3.22,10.76,1,0,17498,2499.71,NN,652.56,-0.26,1,synonym,,0.212,0.151,17,0.7,0.25,523.7857143,533.027027,0.1261447144,-0.1406614256,1,1,596,588.08,0.4443672234,0.6838304029,1,1,9.241312741,-0.26680614,0,-7.92,0.2394631795,0
air,FAN,LISTEN,3,35.14,3.25,10.53,14,6,3911,1955.5,NN|VB,608.29,-0.57,1,instrument,,0.236,0,17,0.31,0.08,535.9487179,543.4864865,-0.2809796945,-0.3190234327,1,1,492,485.6,-0.206974885,-0.4058734882,1,1,7.537768538,-0.0380437382,0,-6.4,-0.1988986032,0
airplane,FLYING,ESSAY,6,50.57,3.41,10.26,0,,12975,2595,VB|NN,619.93,-0.41,1,functional property,,0.434,0,14,0.78,-0.01,511.56,535.45,-0.09080781518,0.02633836291,1,1,544.7058824,518.8888889,-0.1683312916,-0.118197826,1,1,23.89,0.1171461781,0,-25.81699346,0.05013346562,0
alcohol,DRUNK,PEPPERONI,5,76.55,3.59,8.89,3,1,3202,800.5,JJ,595.79,-0.64,1,unclassified,,0.126,0.11,19,0.81,,524.25,563,-0.3829134155,0.1745014924,1,1,477.4761905,474.4545455,-0.3196361292,-0.03129998549,1,1,38.75,0.5574149079,0,-3.021645022,0.2883361437,0
